DATE,TMIN,TMIN
"
12/20/2015",83°,66°
"
12/21/2015",84°,65°
"
12/22/2015",85°,62°
"
12/23/2015",82°,64°
"
12/24/2015",85°,63°
"
12/25/2015",83°,61°
"
12/26/2015",82°,65°
"
12/27/2015",79°,64°
"
12/28/2015",81°,63°
"
12/29/2015",85°,60°
"
12/30/2015",85°,58°
"
12/31/2015",83°,58°
